65 GD00B 5 0.0 36.98	 29.46	 0.00	 590.0	 1040e3	 1040e3	 1040e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
66 GD00C 5 0.0 37.76	 33.64	 0.00	 590.0	 1010e3	 1010e3	 1010e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
67 GD00D 5 0.0 38.20	 32.28	 0.00	 590.0	 1020e3	 1020e3	 1020e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
68 GD02A 5 0.0 35.23	 27.55	 12.36	 590.0	 860e3	 860e3	 860e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 28.75	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
69 GD02B 5 0.0 35.51	 28.66	 0.00	 590.0	 970e3	 970e3	 970e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
70 GD02C 5 0.0 37.44	 32.59	 0.00	 590.0	 1030e3	 1030e3	 1030e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
71 GD02D 5 0.0 37.30	 27.91	 6.83	 590.0	 1450e3	 1450e3	 1450e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 34.25	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
72 dep1D 5 0.0 38.34	 22.83	 0.00	 590.0	 350e3	 350e3	 350e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
73 dep2A 5 0.0 35.00	 28.00	 0.00	 590.0	 999e3	 999e3	 999e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
74 dep2B 5 0.0 37.73	 30.95	 0.00	 590.0	 760e3	 760e3	 760e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
